VideoCard,AvgOPS-Sec
Radeon HD 8280,165
Radeon HD 6450A,164
Radeon HD 8470,164
Radeon HD 8310E,162
Matrox G200eR WDDM 2.0,159
Radeon HD 7420G,159
Radeon HD 8370D,158
Radeon HD 8330,156
Radeon HD 8330E,153
NVS 310,147
Radeon HD 7640G + HD 7600M N HD 7600M Dual,147
Qualcomm Adreno 540 GPU,146
Radeon HD 6470M,145
Radeon HD 7450,145
Radeon HD 7480D,145
GeForce 605,144
Radeon HD 7400G,143
Radeon HD 8250,143
Radeon HD 8280G,143
Radeon R2,143
Radeon HD 8280E,140
Radeon HD 6430M,139
Radeon HD 7660D + HD 7400 Dual,138
GeForce 410M,137
GeForce 800M,137
GeForce 510,136
Radeon HD 8240,136
Radeon HD 6480G,135
Intel 4th Generation Haswell HD,133
Radeon HD 6410D,133
Matrox G200eh WDDM 2.0,131
PHDGD Ivy 4,130
Radeon HD 6450,130
Radeon R5 M435,127
RADEON HD6370D,126
Intel HD 500,124
Intel HD manual-gen9_2015-133271,124
Radeon 520,124
A6 Micro-6500T Quad-Core APU with RadeonR4,119
Matrox G200e WDDM 1.2,119
Matrox G200eR WDDM 1.2,119
Radeon HD 6370D,117
Radeon R2E,117
Radeon R3E,117
GeForce GT 415M,115
Mobility Radeon. HD 5470,105
Mobility Radeon HD 5470,100
Radeon HD 8210,98
Matrox G200eW,96
Radeon HD 7340,94
Radeon R5 M320,93
Radeon HD 5470,92
Mobility Radeon HD 5450,91
Radeon HD 6380G,91
Radeon HD 7340M,91
Radeon HD 6320,88
Matrox G200eW WDDM 1.2,85
Radeon HD 8350,84
Radeon HD 7350,83
Radeon HD 7310,81
Radeon HD 6230,80
RADEON HD 6350,79
Radeon HD 7340G,77
Radeon HD 8180,74
Radeon HD 6310,73
Qualcomm Adreno 618 GPU,71
Matrox G200eR,69
Radeon HD 6320 Graphic,69
Matrox G200eh WDDM 1.2,68
Radeon E6465,68
Radeon HD 6320M,68
Quadro FX 580,66
Radeon HD 7310G,61
Matrox G200eh,60
Radeon HD 7290,60
Radeon HD 7310 - Carte graphique,60
FirePro 2460,59
GeForce 8400 GS,58
Mobility Radeon HD 5430,58
Radeon HD 6290,58
Radeon HD 7310M,57
Radeon HD 7290M,54
GeForce 9500 GT,52
Radeon R5 220,51
Quadro FX 880M,48
Radeon HD 6290M,48
Radeon HD 5450,46
Radeon HD 6250,46
Radeon HD 6300M,45
FirePro 2270,42
Quadro FX 570,42
Radeon HD 7350,41
Radeon HD 8350,41
Red Hat QXL controller,36
GeForce GT 220,35
GeForce 8600 GT,33
ZX Chrome 645/640 GPU,31
VIA/S3G C-645/640 GPU,22
VIA/S3G Chrome 645/640 GPU,22
QXL KMDOD,15
Radeon HD 3200,10
Intel Media Accelerator 3150,9
ION,9
